Page,MANUFACTURER_AND_DISTRIBUTOR,Date_Released,Date_Available,NAME_OF_DEVICE,DESCRIPTION,MATERIALS,GENERAL_USE,SPECIFIC_INDICATIONS,SPECIFIC_FEATURES,SIZES_AVAILABLE,INSTRUMENTATION,SPECIAL_REMARKS,REFERENCES_,SPECIAL_FEATURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,HOWMEDICA INC.,," Solid-Back and Cluster, 1994; Talon?? 1997",Vitalock® Acetabular Cups,"Shells are Available in three styles  Solid-Back, a porous coated Vitallium® alloy shell without screw holes  Cluster, a porous coated Vitallium® alloy shell with anatomic screw hole placement  Talon?? a porous coated Vitallium® alloy shell with adjuvant fixation   System 12® inserts provide ample polyethylene thickness and congruency in all sizes",Vitallium® alloy. Standard and Duration® Stabilized UHMWPE,Primary and revision total hip arthroplasty,Cementless applications in primary total hip arthroplasty,"Solid-Back, a porous coated Vitallium® alloy shell without screw holes  Cluster, a porous coated Vitallium® alloy shell with anatomic screw hole placement  Talon, a porous coated Vitallium® alloy shell with adjuvant fixation  Unique 12-position snap-lock mechanism  Duration stabilized polyethylene maximizes resistance to oxidation","Shells 40mm to 76mm in 2mm increments Inserts 22.2mm, 26mm, 28mm, and 32mm I.D. sizes Neutral, 10° hooded and 15° hooded styles",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,HOWMEDICA INC.,," Osteolock?? 1991; Osteolock??HA, 1995",Osteolock??Acetabular Cups,"Shells are Available in two styles  Osteolock, a titanium alloy shell with anatomic placement of screw holes Osteolock HA, a titanium alloy shell with screw holes and hydroxyapatite coating  System 12® inserts provide ample polyethylene thickness and congruency in all sizes.",Titanium alloy. Hydroxyapatite coating. Standard and Duration® Stabilized UHMWPE,Primary and revision total hip arthroplasty,Osteolock cup is cleared for cemented use only,"Osteolock, a plasma-sprayed titanium alloy shell with anatomic placement of screw holes  Osteolock HA, a titanium alloy shell with screw holes and hydroxyapatite coating  Unique 12-position snap-lock mechanism  Duration® Stabilized polyethylene maximizes resistance to oxidation","Shells 42mm to 76mm in 2mm increments.  Inserts 22.2mm, 26mm, 28mm, and 32mm [.D. sizes  Neutral, 10° Hooded and 15° Hooded styles",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,HOWMEDICA INC.,,1997,Modular Replacement System,"A simple, comprehensive, modular system for radical bone resections of the proximal femur, distal femur, total femur, proximal tibia and proximal humerus",Vitallium® alloy and titanium alloy. UHMWPE,Oncology patients where radical bone resection and replacement may be required,Cemented use in oncology patients where radical bone resection and replacement may be required,"Three basic components articular segments, body segments and stem segments  Implants are assembled during surgery",Full range of adult and pediatric sizes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,HOWMEDICA INC.,,,Dall-Miles Cable System,"The Dall-Miles Cable System includes the trochanteric grip for reattachment of the trochanter, the mini-cleat for enhancing vertical cable fixation, the grooved button for use with the Alta® femoral channel plates and the stainless steel system for fracture fixation in the presence of intramedullary implants",Vitallium® alloy and stainless steel,"A wide variety of cerclage applications, including bone grafting and fracture fixation",,Superior strength and ease of use,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,HOWMEDICA INC.,, 1987 -,Howmedica® Hip Fracture Stem,"A fenestrated hip fracture stem, based on the highly respected Austin Moore stem design, for press-fit applications   A manually inserted fenestration plug creates a ?�solid??stem for cemented applications",Vitallium® alloy,Hip fractures,Press-fit and cemented applications,"Fenestrated stem (with optional plug) with a broad, rounded collar, radiused surfaces, tapered [-beam geometry, longitudinal flutes and grit blast surface","5 stem sizes, ranging in length from 135mm to 190mm. Long stem is 225mm in length",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HOWMEDICA INC.,, Early 1950s,Austin Moore Fixed Head Endo ER. Thompson Fixed Head Endo,"A variety of hip fracture fixation stems, based on the original Moore and Thompson designs",Vitallium® alloy,Hip fracture fixation,,"Austin Moore Fenestrated and solid curved stems; fenestrated and solid straight stems; fenestrated and solid narrow curved stems; fenestrated and solid narrow straight stems; and, a long straight stem  ER. Thompson Regular and modified stems",A wide variety of sizes ranging from 38mm to 63mm and head diameters 38mm to 63mm,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,HOWMEDICA INC.,,1987,Centrax® Bipolar System,A one-piece bipolar design with a polyethylene insert permanently assembled to an outer shell,Vitallium® alloy. UHMWPE,Hip fractures,,Polyethylene locking ring creates a beveled rim and allows for a wide primary range of motion  Compatible with Howmedica femoral components,"A wide range of sizes, 41mm to 72mm, to fit 22mm, 26mm, 28mm, and 32mm femoral head components",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,HOWMEDICA INC.,,1991,Unitrax® Unipolar System,Modular neck adjustment sleeves allow independent sizing of the acetabulum and the femur and revision without stem removal,Vitallium® alloy,Hip fractures,,Modular neck adjustment sleeves allow independent sizing of the acetabulum and the femur and revision without stem removal   Taper locking provides ease of assembly and metal-to-metal cold-weld security,"5 neck adjustment sleeves -4mm, standard, +5mm, +10mm, and +12mm   20 unipolar head components ranging in size from 38mm to 63mm   Sleeves Available for 2° 52??and V40??tapers",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,IMPLEX® CORP.,,1995,ProxiLock® Series Femoral Hip Stems,"Femoral hip stems for cementless application, Available with porous or HA coatings",Hydroxyapatite coating on titanium alloy stem or CoCr porous coating on HIP'd CoCr alloy stem,Primary/revision THR,,"Implex® Proxilock® geometry enhances stem torsional and axial stability and proximal load transfer through a locking fit of the proximal most stem in the prepared femur  Highly finished distal stem uncouples loading from distal stem to femoral diaphysis  Optimal stem lengths enhance proximal load transfer, create a more flexible stem/femur construct, and ease of insertion","Distal stem diameters Available in 10, 11, 12, 13, 14, 15, 16 and 17mm, with corresponding stem lengths of 98, 108, 119, 130, 141, 152 and 163mm",A simple two-step femur preparation technique improves accuracy of canal preparation and allows for proximal/femoral taper locking   Color coding and logistics of tray layout increase *fficiency in the O.R.,"Implex® ProxiLock® geometry provides an effective mechanical means of sealing the proximal canal from particulate debris  Patent #5,593,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,IMPLEX® CORP.,,1992,IMPLEX® F Series Cementable Hip Stems,"Cementable femoral stems, collared, with proximal and distal cement spacers",Available in HIP'd cast CoCr or forged CoCr,Primary/revision THR,,"Available with fixed or modular femoral heads  Super finished ion-bombarded CoCr femoral heads increase bearing hardness, wettability and decrease polyethylene wear potential   Available with zirconia ceramic femoral head option   Imbrications on proximal 1/3 of stem increase load carrying capacity of the cement, without compromising removability   Increased head center offset offers the ability to create optimal biomechanics without lengthening the leg excessively","Stem are sized according to the smallest diaphyseal canal diameter into which they should be cemented  Fits canal diameters of 10, 11, 12, 13 and 14mm, and above, with corresponding stem lengths of 112, 124, 137, 150 and 163mm",Single set of instrumentation for all cemented procedures Simple instrument procedure with fewer instruments  Color coding and logistics of tray layout increase efficiency in the O.R.,Cement spacers provide 4mm proximal-medial and 2mm distal cement thickness,"Steinberg, B. and Harris, W.H. Offset Problem in Total Hip Arthroplasty, Contemporary Orthopaedics, Vol. 24 pp. 556-562, May, 1992.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,IMPLEX® CORP.,,1998,COBREX® Hip Stem,"Cementable femoral hip stem, collared, with proximal and distal cement spacers",Forged CoCr,Primary THR,,Imbricating Cobra flange on proximal portion of stem increases load carrying capacity of the cement  Reduced neck cross-section increases ROM   Super finished ion-bombarded head increases bearing wettability and decreases polyethylene wear potential,"Fits canal diameters of 10, 11, 12, 13 and 14mm, and above, with corresponding stem lengths of 119, 130, 141, 152 and 163mm",Simple instrument procedure with fewer instruments  Color coding and logistics of tray layout increase *fficiency in the O.R.,Proximal and distal cement spacers are Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,IMPLEX® CORP.,,1998,Continuum® Bipolar Head,"Bipolar head, highly polished CoCr outer shell",CoCr/UHMWPE,Primary THR,,,"Available in 22, 26, 28mm 1.D., 46-70mm O.D.",Color coding and logistics of tray layout increase efficiency in the O.R.,Available in 0° and 10° cup face angles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,," HA & Porous, 1993; Hedrocel, 1997",IMPLEX® Elliptical Acetabular??Cups,Acetabular components for press-fit application,Hedrocel® cellular tantalum with UHMWPE liner Sintered Ti beads on CP Ti shell with UHMWPE liner HA coating on CP Ti shell UHMWPE liner,,,"Hedrocel® cellular tantalum has 80% porosity and flexural characteristics similar to that of bone   Porous coated (beaded) surface on sintered cup shell provides biologic ingrowth surface for fixation  Peripheral dovetail annular grooves on HA cup shell create greater interlock with acetabular bone   UHMWPE polyethylene liners in Hedrocel® cups are direct compression molded. No calcium stereate is used for any Implex® PE component  Implants are double foil-vacuum packaged, sterilized via gamma radiation","Outer diameters 40-70mm Inner diameters 22, 26 and 28mm",Color coding and logistics of tray layout increase *fficiency in the O.R.,Pre-assembled insert precludes motion at the shell liner interface. Elliptical geometry provides peripheral interference press-fit without incurring pushout forces which are inherent to oversized spherical cups,"Bear, B., Bostrom, M., Sculco, T. Press-Fit Acetabular Cups ??An Evaluation Of Initial Torsional Stability, Hospital of Special Surgery, New York City, New York, AAOS Scientific Exhibit, San Francisco, California, 1997.   Patent #5,443,519; Patent Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,JOHNSON & JOHNSON ORTHOPAEDICS,1989,,ULTIMA® Polyethylene Acetabular Cup,,UHMWPE,Cemented,,,"OD increases by 2 mm from 44 to 70mm in 28mm ID, and 48 to 58mm in 32 ID  28 ID Available in non-captive and augmented versions  32mm ID Available in non-captive version only",Yes,,,"PMMA spacers, circumferential ring with titanium alloy marker for radiographic viewing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,JOHNSON & JOHNSON ORTHOPAEDICS,1987,,ZTT® II Acetabular Cup System,,"Titanium alloy, CP Ti beads, UHMWPE",Non-cemented,,,"OD increases by 2 mm from 48 to 66mm [Ds of 22.225, 26, 28 and 32mm",Yes,,,"Stepped surface, sintered and porous coated, 6 peripheral screw holes, 3 dome holes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,JOHNSON & JOHNSON ORTHOPAEDICS,1982,,Arthopor® II Acetabular Cup System,,"Titanium alloy, CP Ti beads, UHMWPE",Non-cemented,,,"OD increases by 3 mm from 48 to 75mm  [Ds of 22.225, 26, 28 and 32mm",Yes  78,,,"Porous coated, 6 peripheral screw holes, 6 dome holes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,JOHNSON & JOHNSON ORTHOPAEDICS,1982,,Supercup Acetabular Cups,,"Titanium alloy, CP Ti beads, UHMWPE",Non-cemented,,,"OD increases by 3 mm from 45 to 72mm IDs of 22.225, 26, 28 and 32mm",Yes,,,"Threaded design for secure fixation, peripheral screw holes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,JOHNSON & JOHNSON ORTHOPAEDICS," July, 1997",,ULTIMA® Unipolar Head and Adapter Sleeve,"Hollow, highly polished head and tapered adapter sleeve with -3mm, +Omm, +5mm and +10mm options",Cobalt-chrome alloy for both head and sleeve,Hemiarthroplasty,For use in hemiarthroplasty to the most challenging revision cases,,"Head sizes 38mm-58mm in one mm increments; 60mm and 63mm  Sleeve sizes 10/12 taper, -3, +0, +5, +10 *xtension 11/13 taper, +0, +6, +12 extension",,,,"More lightweight due to a hollow head Versatile application   Adapter sleeves enable component to be used with PFC, ULTIMA and S-ROM stems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,JOHNSON & JOHNSON ORTHOPAEDICS,1994,,PFC® BiPolar Head,Polyethylene liner within a metal shell component,UHMWPE liner  Cobalt-chrome alloy shell,Hemiarthroplasty procedures,Hemiarthroplasty patients with intact and healthy acetabula,,18 head sizes Available from 42mm-60mm in one mm increments,,,,"Component stability, mechanical interlock of liner and shell prevents disassociation   Positive eccentricity, bipolar head is self-centering, assuming valgus position to deliver transmission of load to the acetabulum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,JOHNSON & JOHNSON ORTHOPAEDICS,1995,,Austin Moore Prosthesis,"One-piece, hemiarthroplasty stem",Cast cobalt-chrome alloy,Hemiarthroplasty procedures,Low demand hemiarthroplasty patients,,"22 head sizes Available 3 stem lengths 127mm, 140mm, 152mm",,,,One piece Relieves pain  Restores mobility  Reduces OR time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,JOHNSON & JOHNSON ORTHOPAEDICS,1990,,PFC® Press-Fit Stems,"Circumferentially, proximal porous coated stem",Forged titanium alloy,Primary,,,21 press-fit proportionally sized implants are Available in 11 different proximal stem dimensions  Each proximal stem size is also Available in 2 differing distal stem diameters (stem diameters increase by one mm from 7-17 mm),,,,Ability to address proximal/distal mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,JOHNSON & JOHNSON ORTHOPAEDICS,1990,,PEC.® Cemented Stems,A flanged primary cemented stem with proximal and distal centralization,Forged cobalt-chrome alloy stem  PMMA spacers,Primary,,,"10 collared sizes 0-5, 1-4 offset % 9 collarless sizes 1-5, 1-4 offset b",,,,Implants are collared or collarless  Increased offsets are Available  Proximal macro texturing  Proximal and distal cement           centralization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,JOHNSON & JOHNSON ORTHOPAEDICS," July, 1997",,oe ULTIMA® FX Press Fit,"Grit blasted roughened surface stem, tapered distal tip with proximal ribs on A/P to enhance stability",Cobalt-chrome alloy,Fracture and low demand primary,For use in the fracture/ DRG marketplace,,"Four press fit sizes  Stem length 140mm, 150mm, 175mm and 185mm",,,,Both cemented and press fit stems use same instruments to allow surgeon to make intra-operative decisions   Neck shaft angle is 130°   Neck taper is 10/12  Small calcar collar to aid in load transfer and subsidence  Longitudinal ribs on the anterior and posterior surface to aid rotational stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,JOHNSON & JOHNSON ORTHOPAEDICS," July, 1997",,ULTIMA® FX Cemented,Cemented stem with a calcar collar and lateral proximal flare,Cobalt-chrome alloy,Fracture and low demand primary total hip arthroplasty,For use in the fracture/DRG marketplace,,"Four cemented sizes   Stem length from lateral shoulder 130, 155, 165, 175        qQ U",,,,Both cemented and press fit stems use same instruments to allow surgeon to make intra-operative decisions   Neck shaft angle is 130°  Neck taper is 10/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,JOHNSON & JOHNSON ORTHOPAEDICS, September 1997,,ULTIMA® Calcar Stem,"Cemented, calcar replacement stem",Cast cobalt-chrome alloy,"Fracture, revision","Solution to proximal medial bone loss, intertrochanteric fractures, periprosthetic fractures, revisions  with cavitory defects",,"2, 3 and 4, each with 2 body lengths",Calcar supplementary instruments (includes modular trials)  Smartset??primary cemented instruments,"Instrument technique manual, sell sheet, surgical technique",,Grit-blasted vertical flange for reattachment of the greater trochanter  Radiused through-hole and slots provide numerous options for cable use  Ample offset to improve hip stability and patient gait  Proximal flare and distal flutes increase rotational stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,JOHNSON & JOHNSON ORTHOPAEDICS,1996,,ULTIMA® Long Stem,Cemented long stem with a calcar collar and lateral proximal flare,Forged cobalt-chrome alloy,Revision,Revision cases where additional length is required to obtain stability,,"18 sizes   Mid lengths 185/8mm distal, 185/9mm distal 205mm, 220mm, 235mm Rights and lefts  Full lengths 230mm, 255mm, 280mm, 300mm Rights and lefts",,,,Curved to fit anterior bow   Longer base-neck length and 130 neck shaft angle   Size 5 has 135 neck shaft angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,JOHNSON & JOHNSON ORTHOPAEDICS,1993,,ULTIMA® Cemented Stem,Cemented stem with a calcar collar and lateral proximal flare,Forged cobalt-chrome alloy,Primary,,,"10 collared, 9 collarless, with offset options",Uses Smartset??cemented hip instruments,,"Support literature Available   Sizing chart, surgical technique, x-ray templates",Lateral flange for cement compression  Distal centralizer to optimize stem placement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,JOHNSON & JOHNSON ORTHOPAEDICS,1982,,"A LN S-ROM® Total Hip System R E) Long, XL and XXL length stems with either X  standard or calcar neck","A modular, cementless fluted stem with proximal cone sleeve",Forged titanium alloy stem c6mmercially pure titanium beads,Revision,"Long, X-long, and XX-long stems utilized in revision cases",,"Long 205, 215, 225, 230mm (straights, lefts, rights)  X-long 240, 255, 270, 275mm (lefts, rights)  XX-long 300, 315, 325mm (lefts, rights)",Uses S-ROM® total hip instrumentation     90,,,"Stepped proximal sleeve allows optimal fit and fill of proximal femur, and utilization of the best proximal bone due to version capability of sleeve  Polished, fluted distal stem provide rotational stability   Coronal slot reduces bending stiffness and helps prevent distal fixation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,JOHNSON & JOHNSON ORTHOPAEDICS,1983,,S-ROM® Total Hip System Standard Length Stems,"A modular, cementless fluted stem with proximal cone sleeve",Forged titanium alloy stem,Primary,Small sizes Available (12mm distal diameter) for DDH patients,,"12mm to 24mm distal diameter in 2mm increments  Stem lengths 115, 130, 145, 160 and 175",Uses S-ROM® total hip instrumentation,,,Modular stem and sleeve allow for optimal fit and fill for both proximal and distal fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,JOHNSON & JOHNSON ORTHOPAEDICS,1982,,Triad??Hip System,"A unitized, cemented stem",Cobalt-chrome alloy head with titanium alloy stem,Primary and revision,,,Distal diameters from 13.0mm to 17.5mm in 1.5mm increments,Uses the Triad??instrument system,Product is no longer Available for sale,,"3 neck heights per size   Long and X-long lengths in medium and high neck heights   26, 28 and 32mm head sizes Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"SMITH & NEPHEW, INC.", September 1997,,Synergy??Hip System,"A 3° tapered stem system featuring porous-coated  HA-coated and titanium press-fit options  Primary, cementless hip replacement","Titanium (Ti-6Al-4V) substrate, c6mmercially pure Titanium beads, hydroxyapatite",Primary hip replacement,"Dorr A and B type femurs, osteoarthritis, under 70 years, and high demand activity","Dual offsets in porous and HA stems.  3° taper, medial curve and antirotational flutes provide initial stability  Polished distal bullet tip reduces end of stem cortical bone contact   Circulotrapezoidal neck cross-section increases range of motion (ROM)",10 sizes increasing in 1mm increments (sizes 9-18) Stem lengths in 5mm increments (sizes 130-180),Simple ream and broach instruments housed in only two sterilization trays,Must use 12/14 femoral heads specific to Smith & Nephew,"Mulliken, D. D., Bourne, R. B., Rorabeck, C. H.; et al. A Tapered Titanium Femoral Stem Inserted Without Cement in a Total Hip Arthroplasty; JBJS 78-A pp. 1214-1225, August, 1996.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"SMITH & NEPHEW, INC.",,,Spectron® EF,Cemented hip system,Forged cobalt chrome alloy,Primary and revision,Cemented applications,,Primary ??Available in 5 sizes/3 lengths Revision ??Available in 2 sizes/4 lengths,Primary ??one instrument tray  Revision ??one instrument tray,Circulotrapezoidal neck for enlarged range of motion  (Classic cemented design,"Malchau, H., M.D., Swedish National Registry Results; 99.2% survival at 9 years. Reported AAOS, 1996.",High offset options (Collared or collarless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"SMITH & NEPHEW, INC.",, Scheduled for April 1998,Echelon??Revision Hip System,,Cobalt chrome alloy,Revision hip replacement,,,"Distal diameters 1mm to 20mm  Standard collar, +15mm calcar, and +30 mm calcar options  Porous straight and bowed stems Available",Simple ream and broach instruments for cemented and cementless implants,,,Distal flutes for rotational stability  Extensive porous coating  Calcar options for extensive proximal bone loss  Cemented and cementless stems with c6mmon instruments  Enhanced neck design for optimum range of motion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,Modular Austin-Moore,Solid and fenestrated smooth-stemmed *ndoprosthetic stems,Zimaloy (cobalt chrome alloy),Allows varying femoral head/neck dimensions Can be used with bipolar cup,,,"Four sizes in small, medium, large and X-large with stem lengths from 145-175 mm Each size offers small, medium and long necks",Special instrumentation Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ZIMMER,,1996,VeriSys Hip System,Collared and collarless cementable stems,Zimaloy (cobalt-chrome alloy)  Proximal and distal centralizers are PMMA,Cementable usage,,,Seven different stem sizes with lengths from 120-150 mm  Varying diameters of 11 to 17 mm Varying head-neck offsets,Special instrumentation Available including rasps and reamers,Also Available for non-cemented usage,,"Modular Morris-type femoral neck which accepts metal and ceramic heads  Stem finish includes textured, polished and precoat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ZIMMER,,,HGP II Porous Modified Shell,,C6mmercially pure titanium,Cementless total hip arthroplasty,,,Fifteen O.D. sizes varying by 2 mm from 36-70 mm,Special instruments Available,,,Accepts standard and elevated rim UHMWPE liners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,ZIMMER,,,Proximal one-third modular,Cementable proximal femoral replacement design,Titanium alloy,Proximal femoral bone deficiencies,Failed total hip arthroplasty with proximal 1/3 femoral bone loss,,Five sizes Available with single diameter and stem length of 180 mm  Fifteen different neck lengths from 75-165 mm,,Use with 6° taper metal or ceramic femoral heads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,ZIMMER,,,Anatomic Hip Prosthesis,"Collared, collarless cementable and non-cementable stems",Non-cementable stems are titanium alloy with Ti-Nidium surface hardening,Non-cementable total hip arthroplasty,,,,,,,Available with collared and collarless stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,Modular Calcar Replacement Stem,Variable sized calcar replacement stem,Zimaloy (cobalt-chrome alloy)  PMMA precoat,Total hip arthroplasty,Deficiency of femoral calcar,,"Three sizes in medium, large, large-plus, with eight different stem lengths from 150-250 mm",Modular calcar buildup blocks and intramedullary rasps,Use with 6° taper metal or ceramic femoral heads        101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,ZIMMER,,1996,VerSys System,"Collared Stems for special situations, i.e., long stem revision, fully porocoated and LD/FX",Cobalt chrome alloy,Primary and revision,,,"Depending upon stem design, up to 25 different sizes with diameters from 10-20 mm and stem lengths from 115-200 mm",Special instrumentation including rasps and reamers Available,VerSys LD/EX stems are Available for cementable and non-cementable applications  02,,Stem dimensions and surface finish provide options for special situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,ZIMMER,,,Heritage Hip Prosthesis,Collarless cementable stems,Zimaloy (cobalt-chrome alloy),Primary total hip arthroplasty,Stem designs also Available for CDH,,Ten sizes Available with stem lengths from 120-250 mm,Special rasps Available,"Stems Available in sizes 1-5, CDH, valgus, long stem, long neck and long neck/long stem",,Accepts 6° taper metal and ceramic modular heads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ZIMMER,,,CPT,"A collarless, polished tapered stem",Zimaloy (cobalt chrome alloy),Primary and revision cementable total hip arthroplasty,Can be used with impaction grafting,,Five sizes with a standard stem length of 130 mm and twenty different head-neck offset dimensions,,Use with 6° taper metal or ceramic femoral heads,,Accepts distal centralizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ZIMMER,,1996,VerSys Hip System,Collared and collarless non-cementable stems,Titanium and cobalt-chrome alloys,Non-cementable usage,,,Sixteen different stem sizes with diameters from 9-19 mm and stem lengths from 130-160 mm   Varying head-neck offsets,Special instrumentation of rasps and reamers Available,Also Available for cementable usage        105,,Available with cobalt-chrome headed proximal surface or titanium fiber metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ZIMMER,,,Anatomic Hip Prosthesis,Collared cementable femoral stems,Zimaloy (cobalt chrome alloy),Cementable total hip arthroplasty,,,Ten sizes Available in rights and lefts with stem diameters of 12-20 mm and stem lengths from 10/08/97-149 mm,Special instrumentation Available,Accepts both cobalt chrome and ceramic (zirconium) modular heads,,"Available with PMMA proximal precoat, distal PMMA centralizer plugs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,ZIMMER,1996,1996,VerSys femoral heads,,Zimaloy (cobalt-chrome alloy),Total hip arthroplasty,,,"Head diameters 22, 26, 28, and 32 mm  Neck lengths vary from -3.5, -2, 0, +3.5, +7, and +10.5 mm depending upon head diameter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
